0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:24:06 +0900] "GET /day2/step1/e.html HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:24:06 +0900] "GET /day2/css/sam.css HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:24:36 +0900] "GET /day2/step1/e.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:24:36 +0900] "GET /day2/css/sam.css HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:25:35 +0900] "GET /day2/step1/e.html HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:25:35 +0900] "GET /day2/css/sam.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:26:00 +0900] "GET /day2/step1/e.html HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:26:00 +0900] "GET /day2/css/sam.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:26:00 +0900] "GET /day2/step1/e.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:26:05 +0900] "GET /day2/step1/e.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:31:56 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:32:50 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:33:41 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:33:50 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:37:02 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:37:13 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:39:21 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:39:21 +0900] "GET /day2/imgs/white.jpg HTTP/1.1" 200 107242
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:43:06 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:43:06 +0900] "GET /day2/css/sam.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:43:06 +0900] "GET /day2/imgs/white.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:43:07 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:43:21 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:43:21 +0900] "GET /day2/css/sam.css HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:43:21 +0900] "GET /day2/imgs/white.jpg HTTP/1.1" 200 107242
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:43:25 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:43:54 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:43:54 +0900] "GET /day2/imgs/white.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:43:54 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:45:17 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:45:17 +0900] "GET /day2/css/sam.css HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:45:17 +0900] "GET /day2/imgs/white.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:45:43 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:45:43 +0900] "GET /day2/css/sam.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:45:44 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:45:45 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:45:47 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:45:48 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2021:14:45:48 +0900] "GET /day2/%EC%9E%90%EA%B8%B0%EC%86%8C%EA%B0%9C/home.html HTTP/1.1" 304 -
